아파트명,도로명주소,시군구,읍면동,세대수,lon,lat,정제주소
월계주공1단지,서울특별시 노원구 초안산로1길 51,노원구,월계동,2298,127.0517313,37.6265297,서울특별시 노원구 초안산로1길 51
신월시영아파트,서울특별시 양천구 신월로 99,양천구,신월동,2256,126.8359615,37.5176143,서울특별시 양천구 신월로 99
상계주공14단지,서울특별시 노원구 동일로228길 23,노원구,상계동,2265,127.0594091,37.6688541,서울특별시 노원구 동일로228길 23
목동13단지,서울특별시 양천구 목동동로 100,양천구,신정동,2280,126.8650104,37.514173,서울특별시 양천구 목동동로 100
"신도림대림1,2차",서울특별시 구로구 신도림로 16,구로구,신도림동,2298,126.880595,37.5058413,서울특별시 구로구 신도림로 16
중계주공5단지,서울특별시 노원구 중계로 230,노원구,중계동,2328,127.0766362,37.6532581,서울특별시 노원구 중계로 230
상계주공16단지,서울특별시 노원구 동일로227길 86,노원구,상계동,2392,127.0553293,37.6687238,서울특별시 노원구 동일로227길 86
행당대림,서울특별시 성동구 행당로 79,성동구,행당동,2399,127.0271171,37.557906,서울특별시 성동구 행당로 79
명일삼익그린2차,서울특별시 강동구 고덕로 210,강동구,명일동,2400,127.148467,37.5532919,서울특별시 강동구 고덕로 210
가양5단지,서울특별시 강서구 양천로57길 36,강서구,가양동,2412,126.8548294,37.5636713,서울특별시 강서구 양천로57길 36
개봉동현대아파트,서울특별시 구로구 개봉로20길 6,구로구,개봉동,2412,126.858502,37.4920888,서울특별시 구로구 개봉로20길 6
중계무지개아파트,서울특별시 노원구 동일로208길 20,노원구,중계동,2433,127.0665685,37.6427243,서울특별시 노원구 동일로208길 20
대치미도맨션,서울특별시 강남구 삼성로 150,강남구,대치동,2436,127.067338,37.4933854,서울특별시 강남구 삼성로 150
영등포푸르지오,서울특별시 영등포구 도신로29길 28,영등포구,영등포동,2462,126.9045485,37.5120598,서울특별시 영등포구 도신로29길 28
우장산아이파크이편한세상,서울특별시 강서구 강서로 266,강서구,화곡동,2517,126.8404024,37.5488035,서울특별시 강서구 강서로 266
목동7단지,서울특별시 양천구 목동로 212,양천구,목동,2550,126.869144,37.5290303,서울특별시 양천구 목동로 212
수서주공,서울특별시 강남구 광평로51길 49,강남구,수서동,2565,127.0997555,37.4903395,서울특별시 강남구 광평로51길 49
중계시영3단지목련,서울특별시 노원구 노원로 331,노원구,중계동,2619,127.069028,37.6465111,서울특별시 노원구 노원로 331
상계주공7단지,서울특별시 노원구 상계로1길 92,노원구,상계동,2634,127.060964,37.6580044,서울특별시 노원구 상계로1길 92
"잠원한신4지구(8차~11차,17차)",서울특별시 서초구 나루터로4길 39,서초구,잠원동,2640,127.0123844,37.5116554,서울특별시 서초구 나루터로4길 39
상계주공6단지,서울특별시 노원구 노해로 508,노원구,상계동,2646,127.0630823,37.6534408,서울특별시 노원구 노해로 508
상계주공10단지,서울특별시 노원구 노원로 564,노원구,상계동,2654,127.0538808,37.6634281,서울특별시 노원구 노원로 564
도봉한신,서울특별시 도봉구 마들로 859-19,도봉구,도봉동,2678,127.0480587,37.6857192,서울특별시 도봉구 마들로 859-19
잠실레이크팰리스,서울특별시 송파구 잠실로 88,송파구,잠실동,2678,127.0927735,37.5086223,서울특별시 송파구 잠실로 88
관악벽산타운5단지,서울특별시 금천구 금하로 816,금천구,시흥동,2810,126.9187672,37.4482739,서울특별시 금천구 금하로 816
상계주공9단지,서울특별시 노원구 노원로 532,노원구,상계동,2830,127.059948,37.662167,서울특별시 노원구 노원로 532
창동주공3단지,서울특별시 도봉구 해등로 50,도봉구,창동,2856,127.045837,37.6500348,서울특별시 도봉구 해등로 50
암사선사현대,서울특별시 강동구 상암로 11,강동구,암사동,2938,127.1266968,37.5522571,서울특별시 강동구 상암로 11
신정양천,서울특별시 양천구 목동로3길 41,양천구,신정동,2995,126.8632848,37.5099235,서울특별시 양천구 목동로3길 41
도곡렉슬,서울특별시 강남구 선릉로 221,강남구,도곡동,3002,127.0489846,37.4930287,서울특별시 강남구 선릉로 221
월계그랑빌,서울특별시 노원구 마들로 31,노원구,월계동,3003,127.0685797,37.6178054,서울특별시 노원구 마들로 31
목동14단지,서울특별시 양천구 목동동로 130,양천구,신정동,3100,126.8713633,37.5151892,서울특별시 양천구 목동동로 130
신당남산타운(분양),서울특별시 중구 다산로 32,중구,신당동,3116,127.0072969,37.5467804,서울특별시 중구 다산로 32
압구정현대아파트,서울특별시 강남구 압구정로29길 71,강남구,압구정동,3130,127.0280917,37.5331972,서울특별시 강남구 압구정로29길 71
방학신동아1단지,서울특별시 도봉구 시루봉로 107,도봉구,방학동,3169,127.0286105,37.6606886,서울특별시 도봉구 시루봉로 107
강동롯데캐슬퍼스트아파트,서울특별시 강동구 고덕로 131,강동구,암사동,3226,127.1430468,37.556623,서울특별시 강동구 고덕로 131
상계보람,서울특별시 노원구 한글비석로 480,노원구,상계동,3315,127.0644118,37.6627915,서울특별시 노원구 한글비석로 480
